,Inventory,Type,Date,Due Date,Num,Name,Qty,Invoiced,Backordered,Amount,Open Balance,Month,Year
2934,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/22/2018,11/21/2018,A30528,US IMPORT,6.0,0.0,6.0,33.0,33.0,10,2018
2935,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/24/2018,11/23/2018,A30540,7 DOLLAR BEAUTY SUPPLY,24.0,0.0,24.0,132.0,132.0,10,2018
2936,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/25/2018,12/24/2018,A30541,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,10,2018
2937,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/29/2018,12/28/2018,A30550,"WURI, INC.",6.0,0.0,6.0,33.0,33.0,10,2018
2938,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,10/29/2018,11/28/2018,A30551,US IMPORT,6.0,0.0,6.0,33.0,33.0,10,2018
2939,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/01/2018,12/31/2018,A30568,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,11,2018
2940,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/05/2018,01/04/2019,A30586,SUN 3 TRADING LLC.,6.0,0.0,6.0,33.0,33.0,11,2018
2941,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/06/2018,12/06/2018,A30589,US IMPORT,6.0,0.0,6.0,33.0,33.0,11,2018
2942,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/12/2018,01/11/2019,A30622,"WURI, INC.",6.0,0.0,6.0,33.0,33.0,11,2018
2943,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/12/2018,01/11/2019,A30624,SUN 3 TRADING LLC.,6.0,0.0,6.0,33.0,33.0,11,2018
2944,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/13/2018,12/13/2018,A30638,US IMPORT,6.0,0.0,6.0,33.0,33.0,11,2018
2945,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/19/2018,11/19/2018,A30678,JUST INCREDIBLE HAIR INC.(CANADA),1.0,0.0,1.0,7.5,7.5,11,2018
2946,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/20/2018,12/20/2018,A30683,US IMPORT,6.0,0.0,6.0,33.0,33.0,11,2018
2947,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/21/2018,01/20/2019,A30691,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,11,2018
2948,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,11/21/2018,12/06/2018,A30692,"GENERAL IMPORT ENTERPRISES, INC.",24.0,0.0,24.0,132.0,132.0,11,2018
