Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K707 (SPAN DREADLOCKS BAND : ASSORT (DZ/24 DZ)),148.00,"1,272.00",0.0%,8.59,547.14,3.70,724.86,56.99%
K708 (SPAN DREADLOCKS BAND : BLACK (DZ/24 DZ)),380.00,"3,265.00",0.0%,8.59,"1,397.78",3.68,"1,867.22",57.19%
K710 (DREADLOCKS TUBE : ASSORT (DZ/24 DZ)),156.00,"1,903.50",0.0%,12.20,990.60,6.35,912.90,47.96%
K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),415.00,"5,002.50",0.0%,12.05,"2,635.25",6.35,"2,367.25",47.32%
K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K722 (SPORT BAND SET (3PCS) : WHITE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K723 (SPORT BAND SET (3PCS) : RED (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K724 (SPORT BAND SET (3PCS) : NAVY (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K731 (SPORT BAND SET (3PCS) : ORANGE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K860 (OGN WAVE CAP : ASSORT (DZ/40 DZ)),49.00,198.00,0.0%,4.04,83.14,1.70,114.86,58.01%
K861 (OGN WAVE CAP : BLACK (DZ/40 DZ)),524.00,"2,104.00",0.0%,4.02,909.22,1.74,"1,194.78",56.79%
K862 (OGN WAVE CAP : WHITE (DZ/40 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K863 (OGN KID WAVE CAP : ASSORT (DZ/40 DZ)),7.00,28.00,0.0%,4.00,0.00,0.00,28.00,100.0%
