MainCode,Description,Color,Size,Unit,OnHand,Price1,Bin#,MainCode2,Price2,Price3,Price4,Price5
W1221,"WIG CLIP POLY (100PC/PK) : S, BLACK",BLACK,S,PK,208,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1222,"WIG CLIP POLY (100PC/PK) : M, BLACK",BLACK,M,PK,22,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1223,"WIG CLIP POLY (100PC/PK) : L, BLACK",BLACK,L,PK,-1,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1224,"WIG CLIP POLY (100PC/PK) : S, BROWN",BROWN,S,PK,194,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1225,"WIG CLIP POLY (100PC/PK) : M, BROWN",BROWN,M,PK,116,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1226,"WIG CLIP POLY (100PC/PK) : L, BROWN",BROWN,L,PK,36,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1227,"WIG CLIP POLY (100PC/PK) : S, BLONDE",BLONDE,S,PK,212,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1228,"WIG CLIP POLY (100PC/PK) : M, BLONDE",BLONDE,M,PK,48,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1229,"WIG CLIP POLY (100PC/PK) : L, BLONDE",BLONDE,L,PK,146,$7.50 ,L6,,$10.00 ,$15.00 ,$0.00 ,$0.00 
W1230,"WIG CLIP POLY (2PC/3DZ) : S, BLONDE",BLONDE,S/M/L,PK,0,$9.50 ,L11,,$12.50 ,$16.00 ,$0.00 ,$0.00 
W1234,"WIG CLIP BLISTER (2PC) : S, SILVER",SILVER,S,DZ,0,$4.00 ,L11,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1235,"WIG CLIP BLISTER (2PC) : M, SILVER",SILVER,M,DZ,0,$4.00 ,L11,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1236,"WIG CLIP BLISTER (2PC) : L, SILVER",SILVER,L,DZ,0,$4.00 ,L11,,$5.00 ,$9.00 ,$0.00 ,$0.00 
W1241,"WEAVING THREAD : 60Y, BLACK",BLACK,60Y,DZ,2220,$1.50 ,L5,,$2.00 ,$3.00 ,$0.00 ,$0.00 
W1242,"WEAVING THREAD : 160Y, BLACK",BLACK,160Y,DZ,1425,$3.00 ,L5,,$4.00 ,$6.00 ,$0.00 ,$0.00 
W1243,"WEAVING THREAD : 60Y, BROWN",BROWN,60Y,DZ,419,$1.50 ,L5,,$2.00 ,$3.00 ,$0.00 ,$0.00 
W1244,"WEAVING THREAD : 160Y, BROWN",BROWN,160Y,DZ,1022,$3.00 ,L5,,$4.00 ,$6.00 ,$0.00 ,$0.00 
W1245,"WEAVING THREAD : 60Y, BLONDE",BLONDE,60Y,DZ,348,$1.50 ,L5,,$2.00 ,$3.00 ,$0.00 ,$0.00 
W1246,"WEAVING THREAD : 160Y, BLONDE",BLONDE,160Y,DZ,764,$3.00 ,L5,,$4.00 ,$6.00 ,$0.00 ,$0.00 
W1247,"WEAVING THREAD : 60Y, BURGUNDY",BURGUNDY,60Y,DZ,1041,$1.50 ,L5,,$2.00 ,$3.00 ,$0.00 ,$0.00 
W1248,"WEAVING THREAD : 160Y, BURGUNDY",BURGUNDY,160Y,DZ,2837,$3.00 ,L5,,$4.00 ,$6.00 ,$0.00 ,$0.00 
W1251,"WEAVING THREAD & NEEDLE : A, BLACK",BLACK,N/A,DZ,511,$4.00 ,L3,,$5.50 ,$8.00 ,,
W1252,"WEAVING THREAD & NEEDLE : B, BLACK",BLACK,N/A,DZ,146,$9.00 ,L3,,$12.00 ,$16.00 ,$0.00 ,$0.00 
W1253,"WEAVING THREAD & NEEDLE : A, BROWN",BROWN,N/A,DZ,180,$4.00 ,L3,,$5.50 ,$8.00 ,,
W1254,"WEAVING THREAD & NEEDLE : B, BROWN",BROWN,N/A,DZ,187,$9.00 ,L3,,$12.00 ,$16.00 ,$0.00 ,$0.00 
W1255,"WEAVING THREAD & NEEDLE : A, BLONDE",BLONDE,N/A,DZ,168,$4.00 ,L3,,$5.50 ,$8.00 ,$0.00 ,$0.00 
W1256,"WEAVING THREAD & NEEDLE : B, BLONDE",BLONDE,N/A,DZ,222,$9.00 ,L3,,$12.00 ,$16.00 ,$0.00 ,$0.00 
W1257,"WEAVING THREAD & NEEDLE : A, SILVER",SILVER,N/A,DZ,628,$4.00 ,L14,,$5.50 ,$8.00 ,$0.00 ,$0.00 
W1258,"WEAVING THREAD & NEEDLE : B, SILVER",SILVER,N/A,DZ,104,$9.00 ,L3,,$12.00 ,$16.00 ,$0.00 ,$0.00 
W1260,WEAVING NEEDLE BIG C TYPE (12PCS) : SILVER,SILVER,N/A,DZ,283,$15.00 ,L3,,$24.00 ,$30.00 ,$0.00 ,
W1261,WEAVING NEEDLE  I  TYPE (12PCS) : SILVER,SILVER,N/A,DZ,1368,$7.80 ,L3,,$12.00 ,$14.00 ,$0.00 ,$0.00 
W1262,WEAVING NEEDLE  J  TYPE (12PCS) : SILVER,SILVER,N/A,DZ,1846,$7.80 ,L3,,$12.00 ,$14.00 ,$0.00 ,$0.00 
W1263,WEAVING NEEDLE C  TYPE (12PCS) : SILVER,SILVER,N/A,DZ,128,$7.80 ,L3,,$12.00 ,$14.00 ,$0.00 ,$0.00 
W1264,"T-PIN : 1 1/2""",N/A,N/A,DZ,462,$3.60 ,L2,,$4.50 ,$6.00 ,$0.00 ,$0.00 
W1265,"CROCHET NEEDLE #1, 12PCS BULK",N/A,N/A,PK,208,$2.65 ,L2,,$4.00 ,$4.00 ,$0.00 ,$0.00 
W1271,WIG STAND : ASSORT,ASSORT,N/A,DZ,630,$15.00 ,L1,,$20.00 ,$30.00 ,$0.00 ,$0.00 
W1272,"WIG COMB , DETANGLER : ASSORT",ASSORT,N/A,DZ,191,$7.50 ,L1,,$10.00 ,$14.00 ,$0.00 ,$0.00 
W1274,WEAVING THREAD 500Y : BLACK,BLACK,500Y,DZ,59,$7.50 ,L4,,$10.00 ,$14.00 ,$0.00 ,$0.00 
