,"Type","Date","Due Date","Num","Name","Qty","Invoiced","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,
"E1083 (ADHESIVE-STRIP LASH/CLEAR (7G))",,,,,,,,,,
,"Sales Order","07/19/2018","08/18/2018","A30105","DASO TRADING INC.",12,6,6,48.00,24.00
,"Sales Order","08/06/2018","09/05/2018","A30145","TEN TEN US TRADING, CORP.",12,0,12,48.00,48.00
,"Sales Order","08/06/2018","09/05/2018","A30146","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","08/06/2018","09/05/2018","A30150","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","08/06/2018","09/05/2018","A30154","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,11.00,11.00
,"Sales Order","08/10/2018","09/09/2018","A30191","TEN TEN US TRADING, CORP.",12,0,12,48.00,48.00
,"Sales Order","08/13/2018","10/12/2018","A30198","WURI, INC.",6,0,6,24.00,24.00
,"Sales Order","09/04/2018","10/04/2018","A30305","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","10/01/2018","10/31/2018","A30426","7 DOLLAR BEAUTY SUPPLY",48,24,24,192.00,96.00
,"Sales Order","10/05/2018","11/04/2018","A30442","DASO TRADING INC.",20,0,20,80.00,80.00
"Total K005 (DU-RAG : ROYAL BLUE (DZ/48 DZ))",,,,,,272,39,233,1097.00,941.00
"K006 (DU-RAG : SKY BLUE (DZ/48 DZ))",,,,,,,,,,
,"Sales Order","02/05/2018","03/07/2018","A29208","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","02/08/2018","02/08/2018","A29247","TRENDZ BEAUTY SUPPLY",4,0,4,22.00,22.00
,"Sales Order","02/26/2018","03/28/2018","A29339","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","03/05/2018","04/04/2018","A29374","HAIR DEPOT PLUS(WARREN)",1,0,1,4.00,4.00
,"Sales Order","03/08/2018","04/07/2018","A29398","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","03/14/2018","04/13/2018","A29443","HAIR DEPOT PLUS(WARREN)",1,0,1,4.00,4.00
,"Sales Order","03/19/2018","04/18/2018","A29475","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","04/02/2018","05/02/2018","A29554","7 DOLLAR BEAUTY SUPPLY",12,11,1,48.00,4.00
,"Sales Order","04/09/2018","05/09/2018","A29590","HAIR DEPOT PLUS(WARREN)",1,0,1,4.00,4.00
,"Sales Order","05/15/2018","06/14/2018","A29780","BEAUTY WORLD SUPPLY (DURHAM)NC7",2,0,2,11.00,11.00
,"Sales Order","06/25/2018","08/24/2018","A29989","PK INTERNATIONAL, INC.",24,0,24,96.00,96.00
,"Sales Order","06/28/2018","07/28/2018","A30004","DASO TRADING INC.",12,0,12,48.00,48.00
,"Sales Order","06/29/2018","08/28/2018","A30011","MISSION TRADING",6,4,2,24.00,8.00
,"Sales Order","07/02/2018","08/01/2018","A30025","BEAUTY WORLD SUPPLY (DURHAM)NC7",3,0,3,16.50,16.50
,"Sales Order","07/16/2018","08/15/2018","A30080","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","07/17/2018","08/16/2018","A30091","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","07/19/2018","08/18/2018","A30105","DASO TRADING INC.",18,0,18,72.00,72.00
,"Sales Order","08/06/2018","09/05/2018","A30146","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","08/06/2018","09/05/2018","A30150","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","08/06/2018","09/05/2018","A30154","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,11.00,11.00
,"Sales Order","08/07/2018","08/07/2018","A30173","ESSENCE BEAUTY DEPOT",2,0,2,11.00,11.00
,"Sales Order","08/10/2018","10/09/2018","A30197","PK INTERNATIONAL, INC.",24,0,24,96.00,96.00
,"Sales Order","08/17/2018","09/16/2018","A30235","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","08/20/2018","09/19/2018","A30242","DASO TRADING INC.",12,0,12,48.00,48.00
,"Sales Order","08/29/2018","08/29/2018","A30288","SUPREME BEAUTY SUPPLY",2,0,2,8.00,8.00
,"Sales Order","08/30/2018","09/29/2018","A30292","HAIR DEPOT PLUS(WARREN)",24,0,24,96.00,96.00
,"Sales Order","08/31/2018","09/30/2018","A30298","DASO TRADING INC.",16,0,16,64.00,64.00
,"Sales Order","09/04/2018","10/04/2018","A30305","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","09/06/2018","10/06/2018","A30319","HAIR DEPOT PLUS(WARREN)",2,0,2,8.00,8.00
,"Sales Order","09/13/2018","11/12/2018","A30348","MISSION TRADING",6,0,6,24.00,24.00
,"Sales Order","09/19/2018","11/18/2018","A30367","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
,"Sales Order","09/24/2018","10/24/2018","A30401","DASO TRADING INC.",20,0,20,80.00,80.00
,"Sales Order","10/01/2018","10/31/2018","A30420","EVERGREEN BEAUTY",1,0,1,5.50,5.50
,"Sales Order","10/01/2018","10/31/2018","A30426","7 DOLLAR BEAUTY SUPPLY",48,0,48,192.00,192.00
,"Sales Order","10/02/2018","12/01/2018","A30433","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
,"Sales Order","10/05/2018","11/04/2018","A30449","MISSION TRADING",6,0,6,24.00,24.00
,"Sales Order","10/17/2018","11/16/2018","A30512","DASO TRADING INC.",12,6,6,48.00,24.00
,"Sales Order","10/24/2018","11/23/2018","A30540","7 DOLLAR BEAUTY SUPPLY",48,0,48,192.00,192.00
,"Sales Order","10/29/2018","11/28/2018","A30551","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","11/14/2018","12/14/2018","A30652","7 DOLLAR BEAUTY SUPPLY",48,24,24,192.00,96.00
"Total K006 (DU-RAG : SKY BLUE (DZ/48 DZ))",,,,,,597,45,552,2409.00,2229.00
"K007 (DU-RAG : LIGHT GRAY (DZ/48 DZ))",,,,,,,,,,
,"Sales Order","08/06/2018","09/05/2018","A30145","TEN TEN US TRADING, CORP.",12,0,12,48.00,48.00
,"Sales Order","08/06/2018","09/05/2018","A30150","7 DOLLAR BEAUTY SUPPLY",24,22,2,96.00,8.00
,"Sales Order","08/06/2018","09/05/2018","A30151","HAIR DEPOT PLUS(WARREN)",2,0,2,8.00,8.00
,"Sales Order","08/06/2018","09/05/2018","A30154","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,11.00,11.00
,"Sales Order","08/07/2018","08/07/2018","A30173","ESSENCE BEAUTY DEPOT",1,0,1,5.50,5.50
,"Sales Order","08/10/2018","09/09/2018","A30191","TEN TEN US TRADING, CORP.",12,0,12,48.00,48.00
,"Sales Order","08/10/2018","10/09/2018","A30197","PK INTERNATIONAL, INC.",24,0,24,96.00,96.00
,"Sales Order","08/15/2018","10/14/2018","A30214","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
,"Sales Order","08/17/2018","08/17/2018","A30228","TRENDZ BEAUTY SUPPLY",2,0,2,11.00,11.00
,"Sales Order","08/17/2018","09/16/2018","A30233","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","08/17/2018","09/16/2018","A30237","HAIR DEPOT PLUS(WARREN)",2,0,2,8.00,8.00
,"Sales Order","08/22/2018","10/21/2018","A30255","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
,"Sales Order","08/23/2018","09/22/2018","A30264","TEN TEN US TRADING, CORP.",6,0,6,24.00,24.00
,"Sales Order","08/29/2018","10/28/2018","A30286","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
,"Sales Order","09/04/2018","11/03/2018","A30307","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
,"Sales Order","09/07/2018","10/07/2018","A30322","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","09/11/2018","11/10/2018","A30340","YOUNG'S TRADING (GA)",12,0,12,48.00,48.00
,"Sales Order","09/17/2018","10/17/2018","A30356","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","09/17/2018","10/17/2018","A30360","HAIR DEPOT PLUS(YOUNGSTOWN)",1,0,1,4.00,4.00
,"Sales Order","09/18/2018","09/18/2018","A30366","HAIR CROWN BEAUTY SUPPLY",3,0,3,12.00,12.00
,"Sales Order","09/20/2018","10/20/2018","A30378","TEN TEN US TRADING, CORP.",6,0,6,24.00,24.00
,"Sales Order","09/24/2018","10/24/2018","A30401","DASO TRADING INC.",12,0,12,48.00,48.00
,"Sales Order","09/27/2018","10/27/2018","A30413","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","09/28/2018","09/28/2018","A30417","EBS IMPORT&WHOLESALE (GA)",1,0,1,4.00,4.00
,"Sales Order","10/01/2018","10/31/2018","A30420","EVERGREEN BEAUTY",1,0,1,5.50,5.50
,"Sales Order","10/01/2018","10/31/2018","A30426","7 DOLLAR BEAUTY SUPPLY",24,0,24,96.00,96.00
,"Sales Order","10/05/2018","11/04/2018","A30442","DASO TRADING INC.",12,0,12,48.00,48.00
,"Sales Order","10/05/2018","11/04/2018","A30449","MISSION TRADING",6,0,6,24.00,24.00
,"Sales Order","10/09/2018","11/08/2018","A30460","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","10/11/2018","12/10/2018","A30480","PK INTERNATIONAL, INC.",24,12,12,96.00,48.00
,"Sales Order","10/19/2018","12/18/2018","A30521","WURI, INC.",6,3,3,24.00,12.00
,"Sales Order","10/29/2018","11/28/2018","A30551","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","10/29/2018","11/28/2018","A30552","TEN TEN US TRADING, CORP.",6,0,6,24.00,24.00
"Total K007 (DU-RAG : LIGHT GRAY (DZ/48 DZ))",,,,,,333,37,296,1341.00,1193.00
"K008 (DU-RAG : BROWN (DZ/48 DZ))",,,,,,,,,,
,"Sales Order","05/21/2018","06/20/2018","A29809","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","05/29/2018","06/28/2018","A29867","UNION SALES, INC.",24,0,24,96.00,96.00
,"Sales Order","08/03/2018","09/02/2018","A30143","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
,"Sales Order","03/06/2019","04/05/2019","A31314","US IMPORT",6,0,6,24.00,24.00
